user_input,retrieved_contexts,reference,context_recall,context_precision
Were Scott Derrickson and Ed Wood of the same nationality?,"['Scott Derrickson\nScott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.  He lives in Los Angeles, California.  He is best known for directing horror films such as ""Sinister"", ""The Exorcism of Emily Rose"", and ""Deliver Us From Evil"", as well as the 2016 Marvel Cinematic Universe installment, ""Doctor Strange.""', 'Conrad Brooks\nConrad Brooks (born Conrad Biedrzycki on January 3, 1931 in Baltimore, Maryland) is an American actor.  He moved to Hollywood, California in 1948 to pursue a career in acting.  He got his start in movies appearing in Ed Wood films such as ""Plan 9 from Outer Space"", ""Glen or Glenda"", and ""Jail Bait.""  He took a break from acting during the 1960s and 1970s but due to the ongoing interest in the films of Ed Wood, he reemerged in the 1980s and has become a prolific actor.  He also has since gone on to write, produce and direct several films.', ""Ed Wood (film)\nEd Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood.  The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau.  Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, Lisa Marie, and Bill Murray are among the supporting cast.""]","Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.
Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",0.5,0.9999999999
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Kiss and Tell (1945 film)\nKiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.  In the film, two teenage girls cause their respective parents much concern when they start to become interested in boys.  The parents' bickering about which girl is the worse influence causes more problems than it solves."", ""The Odd Way Home\nThe Odd Way Home is a 2013 independent film directed by Rajeev Nirmalakhandan.  This drama follows a troubled woman, Maya (Rumer Willis), on the run from an abusive boyfriend, who accidentally robs an old woman and steals a delivery truck, only to find the back of the truck has been converted into a bedroom by Duncan (Chris Marquette), a high-functioning autistic twenty-something.  Through a picaresque road-trip to Duncan's only-living relative, the two develop a friendship and an understanding of what family really is.  The film world premiered at the 2013 Austin Film Festival."", 'Callista Gingrich\nCallista Louise Gingrich (née Bisek; born March 4, 1966) is an American political aide, businesswoman, and author.  She is married to former Speaker of the U.S. House of Representatives and 2012 Republican presidential candidate Newt Gingrich.  In May 2017, President Donald Trump nominated her to be the United States Ambassador to the Holy See, a post requiring United States Senate confirmation.', 'Their Lives\nTheir Lives: The Women Targeted by the Clinton Machine is a book by Candice E. Jackson.  Published by conservative publisher World Ahead Publishing on May 31, 2005, it recounts the stories of seven women who crossed paths with Bill Clinton: Monica Lewinsky, Paula Jones, Gennifer Flowers, Kathleen Willey, Elizabeth Gracen, Juanita Broaddrick, and Sally Perdue.']","Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.
Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.
 As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",0.3333333333333333,0.9999999999
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","['Etiquette &amp; Espionage\nEtiquette & Espionage is a young adult steampunk novel by Gail Carriger.  It is her first young adult novel, and is set in the same universe as her bestselling Parasol Protectorate adult series.', 'Apprentice Adept\nApprentice Adept is a heptalogy of fantasy and science fiction novels written by English American author Piers Anthony.  The series takes place on ""Phaze"" and ""Proton"", two worlds occupying the same space in two different dimensional planes.  Phaze is a lush planet of magic, where Proton is a barren mining planet of science.  As the series opens, each person born on Phaze and Proton has an alternate self living on the other world.  But if a person on either world lacks a duplicate (for instance if a Proton citizen immigrated there from another planet, or a counterpart from the opposite frame died), he can cross to the other through an energy ""curtain"" that circumscribes each frame.', 'List of Square Enix companion books\nDozens of Square Enix companion books have been produced since 1998, when video game developer Square began to produce books that focused on artwork, developer interviews, and background information on the fictional worlds and characters in its games rather than on gameplay details.  The first series of these books was the ""Perfect Works"" series, written and published by Square subsidiary DigiCube.  They produced three books between 1998 and 1999 before the line was stopped in favor of the ""Ultimania"" (アルティマニア , Arutimania ) series, a portmanteau of ultimate and mania.  This series of books is written by Studio BentStuff, which had previously written game guides for Square for ""Final Fantasy VII"".  They were published by D', 'Animorphs\nAnimorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.  It is told in first person, with all six main characters taking turns narrating the books through their own perspectives.  Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series.']","The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.
 With respect to continuity within the series, it takes place before book #23, ""The Pretender"", although the events told in the story occur between the time of ""The Ellimist Chronicles"" and ""The Andalite Chronicles"".
 The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion.
Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.
 It is told in first person, with all six main characters taking turns narrating the books through their own perspectives.",0.4,0.0
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"['Laleli Mosque\nThe Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.', 'Esma Sultan Mansion\nThe Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.']","The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.
The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",1.0,0.99999999995
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Big Stone Gap (film)\nBig Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.  Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s.  The film had its world premiere at the Virginia Film Festival on November 6, 2014.""]","Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.
Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City.",0.5,0.9999999999
2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""2014 S/S\n2014 S/S is the debut album of South Korean group WINNER.  It was released on August 12, 2014 by the group's record label, YG Entertainment.  The members were credited for writing the lyrics and composing the majority of the album's songs."", 'Madtown\nMadtown (Hangul:\xa0매드타운 ), often stylized as MADTOWN, is a South Korean boy group formed in 2014 by J. Tune Camp.  The group consists of Moos, Daewon, Lee Geon, Jota, Heo Jun, Buffy and H.O.  Their debut album, ""Mad Town"", was released on October 6, 2014.  Two of the members, Moos and Buffy, originally debuted as the hip hop duo ""Pro C"" in 2013.  Madtown\'s official fan-base name is Mad-people.  Starting December 22, 2016, MADTOWN\'s contract was sold to GNI Entertainment after J. Tune Camp closed.', 'Winner (band)\nWinner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.  It currently consists of four members, Jinwoo, Seunghoon, Mino and Seungyoon.  Originally a five-piece group with Taehyun, who later departed from the group in November 2016.', 'List of awards and nominations received by Shinee\nSouth Korean boy group Shinee have received several awards and nominations for their music work.  The group was formed by S.M. Entertainment in 2008 and released their first full-length album, ""The Shinee World"", on August 28, 2008, which won the Newcomer Album of the Year at the 23rd Golden Disk Awards.  The first single released from the album was ""Sanso Gateun Neo (Love Like Oxygen)"" and won first place on ""M Countdown"" on September 18, 2008 making it the group\'s first win on Korean music shows since debut.  Their second album ""Lucifer"" (2010) produced two singles, ""Lucifer"" and ""Hello"".  For their outstanding choreography the group was nominated for the Best Dance Performance Award at the Mnet Asian Music', 'History (band)\nHistory (Korean: 히스토리 ) was a South Korean boy group formed by LOEN Entertainment in 2013.  They debuted on April 26, 2013 with ""Dreamer"", featuring the narration of their labelmate IU.  They were LOEN Entertainment\'s first boy group.  They officially disbanded on May 12, 2017.']","2014 S/S is the debut album of South Korean group WINNER.
Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.",1.0,0.8333333332916666
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"['Eenasul Fateh\nEenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.', ""Management consulting\nManagement consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.  Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise."", 'Mehrdad Raissi Ardali\nMehrdad Raissi Ardali (Persian: مهرداد رئیسی اردلی\u200e \u200e ), born (1978--)20 1978 in Iran, is a prolific Iranian voice actor, dubbing director, founder, director, CEO and Quality Control Manager of Glory Entertainment (The Association of Tehran Young Voice Actors).  He has also provided Persian voices for several animation characters, including famous characters such as Donkey in ""Shrek"", Marty in ""Madagascar"", """" and """", Buck in """", Bolt in ""Bolt"", Carl Fredricksen in ""Up"", Flynn Rider in ""Tangled"", The Once-ler in ""The Lorax"", RJ in ""Over the Hedge"", Francesco Bernoulli in ""Cars 2"", Mr. Ping in ""Kung fu Panda"", Ramon in ""Happy Feet 2"", The Man in the Yellow Hat in ""Curious George"", Raoul in ""A Monster in Paris"", Kevin in """", Barry in ""Bee', 'Akhlaq Ahmed\nAkhlaq Ahmed (Urdu: اخلاق احمد\u200e ; January 10, 1950 – August 4, 1999) was a Pakistani playback singer.  He was a member of a famous singing group from Karachi with two other artists,film playback singer Masood Rana and film actor Nadeem.  Akhlaq debuted as a singer in the 1973 film, ""Pazaib"" with music by ""Lal Mohammad Iqbal"".  He was unable to get a dominant place in the Pakistan film industry because when he started his singing career, at that time Ahmed Rushdi was the prominent playback singer in the Pakistani film industry.  Even then he remained a somewhat successful singer in the late 1970s and 1980s.', 'The Cider House Rules (soundtrack)\nThe Cider House Rules is the soundtrack of the 1999 Academy Award-winning and Golden Globe-nominated film ""The Cider House Rules"" starring Tobey Maguire, Charlize Theron, Michael Caine (who won the Academy Award for Best Supporting Actor for his role as Dr. Wilbur Larch in this film) and Delroy Lindo.  The original score was composed by Rachel Portman.']","Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.
Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.",1.0,0.9999999999
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""Lewiston Maineiacs\nThe Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine.  The team played its home games at the Androscoggin Bank Colisée.  They were the second QMJHL team in the United States, and the only one to play a full season.  They won the President's Cup in 2007."", '1957 Oklahoma State Cowboys football team\nThe 1957 Oklahoma State Cowboys football team represented Oklahoma State University in the 1957 college football season.  This was the 57th year of football at OSU and the third under Cliff Speegle.  The Cowboys played their home games at Lewis Field in Stillwater, Oklahoma.  Oklahoma A&M officially changed its name to Oklahoma State University prior to this season, and the program competed their first season as an independent after over three decades in the Missouri Valley Conference.  The Cowboys finished the season with a 6–3–1 record.']"," The team played its home games at the Androscoggin Bank Colisée.
The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.",0.5,0.0
"Who is older, Annie Morton or Terry Richardson?","['Annie Morton\nAnnie Morton (born October 8, 1970) is an American model born in Pennsylvania.  She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines.  She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper\'s Bazaar"", ""Sports Illustrated"" and Victoria\'s Secret.  A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare.  She co-founded Tsi-La Organics, a ""Green Luxury"" company that creates and sells vegan, organic perfume and skin care products.']","Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.
 She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret.
Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.",0.6666666666666666,0.0
Are Local H and For Against both from the United States?,"['Local H\nLocal H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.  The members all met in high school in 1987 and founded Local H three years later.']","Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.
For Against is a United States post-punk/dream pop band from Lincoln, Nebraska.",0.5,0.0
